JobID,JobNum,JobName,Amount,WorkType,CrewNeeded,Lead,Vehicle,Equipment,PowerSource,SOW,Status,StartDate,EndDate,Color,PrevailingWage,PartialBilling,PartialBillDate,PartialPercent,BilledToDate,BillingPaused,BillingNotes,Notes ,DeferredTime,DeferredDays,NoBillReason,NoBill
1,6814,Kalb,"$16,471.18",Caulking,3,Adam,PU3,n/a,n/a,https://docs.google.com/spreadsheets/d/1QOViZl6mPYGjjnfaRitb1y7stYbSjumvOqQ5gdGegSg/edit?usp=sharing,Active,2026-02-23,2026-02-27,,Yes,No,2026-02-27,5,95,,"Using this to test, they have been billed 100% already",,,,,
2,6507,Contract Flooring,"$30,125.00",Joint Fill/Seal,4,Dave,Box1,Large Scrapper,Box 1,,Complete,2026-02-23,2026-04-03,,No,No,,,100,,Bill 1/2  a week $15K,,,,,
3,7366,Greg Job,$0,Flake Epoxy,2,Jose,Box 2,Turco,Box 2,,Complete,2026-02-23,2026-02-24,,,No,,,100,,,,,,,
4,6655,Eureka,"$48,207.92",Epoxy,5,Rocky,PU7 & PU8 & T1,Turco,T1,,Complete,2026-02-23,2026-03-04,,,No,,,100,,,,,,,
5,7044,Kevin Britner,"$6,466.89",Polish,2,Eric,Pu9 ,Husky Grinder,Kodiak,,Complete,2026-02-23,2026-02-27,,,No,,,100,,,,,,,
6,7095,Lepori,"$9,942.58",Demo,2,Kurtis,PU1 / T3,Electric Scraper Red,T3,,Complete,2026-02-25,2026-02-27,,,No,,,100,,,,,,,
7,7386,Desert Winds,"$1,750",Diamond Grind,2,,Box 3,Terrco,,,Complete,2026-02-24,2026-02-24,,,No,,,100,,,,,,,
10,6078 CO2 ,Lepori,"$15,000.00",Joint Fill/Seal,4,,Pu9 & kodiak,,,,Complete,2026-03-02,2026-03-03,,,No,,,100,,,,,,,
11,7370,Jeff Farr,"$20,347.11",Flake Epoxy,4,Jose,Pu7 & T1,Shot Blaster,Box 2,,Complete,2026-03-02,2026-03-06,,No,No,,,100,,,,,,,
12,6844 CO2 CO3,Plenium ,"$10,000.00",Joint Fill/Seal,2,,PU5,,,https://docs.google.com/spreadsheets/d/1J1S1YFgKggBz0RNI9tvWu6cjLi5QQPXu_6PG0TCTjro/edit?usp=sharing,Active,2026-03-09,2026-03-18,,,,,,,,,,,,,
13,6977,Lepori,"$2,169",Demo,2,,Truck trailer,Electric Scraper,Onsite,https://docs.google.com/spreadsheets/d/1a_8sTDWQj41prJcCqwDz8a1aDWjVccN53QfVZqYpUis/edit?usp=sharing,Active,2026-03-09,2026-03-09,,No,No,,,100,,,,19:00,2026-03-09,,
14,6844,Plenium ,,Polish,3,,PU8 & JT1,,Makinex,,Active,2026-03-16,2026-03-30,,,,,,,,,,,,,
15,6078CO1,Lepori,"$2,787.43",Demo,4,Kurtis,Need Trailer,Electric Scraper Blue,None,,Complete,2026-02-25,2026-02-25,,,No,,,100,,,,,,,
16,7384,Naisbitt,"$3,220.50",Demo,2,Kurtis,Kodiak,Propane Scrapper,,,Complete,2026-02-23,2026-02-24,,,No,,,100,,,,,,,
17,6548,Tesla,$0,Joint fill,1,Jesse,Box 3,,,,Complete,2026-02-23,2026-02-24,,No,Yes,2026-03-15,10,90,,Testing ,,,,,
20,6994,Bruce Purves,"$1,750.88",Diamond Grind,2,Darren,Truck Generator ,Hand Grinders ,Generator Vacuum,Grind to Tolerance ,Complete,2026-02-23,2026-02-23,,Yes,No,,,100,,,,,,,
21,6328CO3,Plenium,,Epoxy,2,,,,,,Complete,2026-02-24,2026-02-24,,Yes,No,,,100,,,,,,,
22,7392,Advance Precision,"$1,650",Scrub and Clean,2,,,,,,Complete,2026-02-27,2026-02-27,,No,No,,,100,,,,,,,
23,6814,Kalb,,,3,Adam,PU3,,,,Active,2026-03-09,2026-04-03,,Yes,No,,,,,,,,,,
24,6078,Lepori,,Joint fill,4,Kurtis,Pu9 & T3,,,,Complete,2026-03-04,2026-03-06,,No,No,,,100,,,,,,,
25,7234,Seasons,,,3,,Box 1,,,,Complete,2026-03-04,2026-03-06,,No,No,,,100,,,,,,,
26,6078 CS,Lepori,,Clean and Seal,,,,,,,Active,2026-03-09,2026-03-10,,No,No,,,100,,,,,,,
29,6359,DA Builders,,Polish,3,,,,,,Active,2026-04-08,2026-05-13,,No,,,,,,,,,,,
30,6994,Bruce Purves,"$3,051.18",Clean and Seal,2,,Truck,"Scrubber, morh hair roller",Power on site 110,Clean & Seal,Complete,2026-03-05,2026-03-05,,Yes,No,,,100,,,,,,,
